lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.8323861,-79.4397497,2,Hunter's Point Drive (288),a,Hunter's Point Drive,33,15729456,328453288,Richmond Hill,37878
43.8323861,-79.4397497,2,Hunter's Point Drive (323),a,Hunter's Point Drive,33,15729456,328453323,Richmond Hill,37878
43.8324632,-79.4425206,2,Misty Moor Drive (056),a,Misty Moor Drive,14,5446868,95988056,Richmond Hill,37878
43.8325009,-79.4425249,2,Misty Moor Drive (059),a,Misty Moor Drive,14,5446868,95988059,Richmond Hill,37878
43.8325921,-79.4548734,2,Bathurst Street (779),a,Bathurst Street,329,5446829,95472779,Richmond Hill,37878
43.8325921,-79.4548734,2,Bathurst Street (784),a,Bathurst Street,329,5446829,95472784,Richmond Hill,37878
43.8326157,-79.4385241,2,Langstaff Road (508),a,Langstaff Road,49,5447174,98292508,Richmond Hill,37878
43.832623,-79.4383996,2,Langstaff Road (507),a,Langstaff Road,49,5447174,98292507,Richmond Hill,37878
43.8326264,-79.4386482,2,Langstaff Road (509),a,Langstaff Road,49,5447174,98292509,Richmond Hill,37878
43.8326549,-79.4387594,2,Langstaff Road (510),a,Langstaff Road,49,5447174,98292510,Richmond Hill,37878
43.8326559,-79.4381748,2,Langstaff Road (506),a,Langstaff Road,49,5447174,98292506,Richmond Hill,37878
43.8326833,-79.4388582,2,Langstaff Road (511),a,Langstaff Road,49,5447174,98292511,Richmond Hill,37878
43.8326882,-79.439878,2,Hunter's Point Drive (289),a,Hunter's Point Drive,33,15729456,328453289,Richmond Hill,37878
43.8327388,-79.4389687,2,Langstaff Road (512),a,Langstaff Road,49,5447174,98292512,Richmond Hill,37878
43.8327718,-79.4376275,2,Langstaff Road (505),a,Langstaff Road,49,5447174,98292505,Richmond Hill,37878
43.8328214,-79.4390785,2,Langstaff Road (513),a,Langstaff Road,49,5447174,98292513,Richmond Hill,37878
43.8328838,-79.4399582,2,Hunter's Point Drive (290),a,Hunter's Point Drive,33,15729456,328453290,Richmond Hill,37878
43.8329124,-79.4391507,2,Langstaff Road (514),a,Langstaff Road,49,5447174,98292514,Richmond Hill,37878
43.832936,-79.4369455,2,Langstaff Road (472),a,Langstaff Road,49,5447174,98292472,Richmond Hill,37878
43.832936,-79.4369455,2,Langstaff Road (504),a,Langstaff Road,49,5447174,98292504,Richmond Hill,37878
43.832936,-79.4369455,2,Dunvegan Drive (489),a,Dunvegan Drive,9,5447276,98607489,Richmond Hill,37878
43.8330017,-79.4369636,2,Dunvegan Drive (303),a,Dunvegan Drive,9,5447276,328450303,Richmond Hill,37878
43.8330099,-79.4336481,2,Highway 7 (770),a,Highway 7,249,5446603,92701770,Richmond Hill,37878
43.8330119,-79.4391855,2,Langstaff Road (515),a,Langstaff Road,49,5447174,98292515,Richmond Hill,37878
43.8330369,-79.4369732,2,Dunvegan Drive (490),a,Dunvegan Drive,9,5447276,98607490,Richmond Hill,37878
43.8330894,-79.4550332,2,Bathurst Street (785),a,Bathurst Street,329,5446829,95472785,Richmond Hill,37878
43.8330934,-79.4392206,2,Langstaff Road (516),a,Langstaff Road,49,5447174,98292516,Richmond Hill,37878
43.8331289,-79.433789,2,Highway 7 (490),a,Highway 7,249,5446603,92701490,Richmond Hill,37878
43.8331567,-79.4392439,2,Kilbarry Court (873),a,Kilbarry Court,6,5447097,97745873,Richmond Hill,37878
43.8331567,-79.4392439,2,Langstaff Road (493),a,Langstaff Road,49,5447174,98292493,Richmond Hill,37878
43.8331567,-79.4392439,2,Langstaff Road (517),a,Langstaff Road,49,5447174,98292517,Richmond Hill,37878
43.8331721,-79.4357609,2,Fairview Avenue (029),a,Fairview Avenue,26,5447046,97375029,Richmond Hill,37878
43.8331721,-79.4357609,2,Langstaff Road (470),a,Langstaff Road,49,5447174,98292470,Richmond Hill,37878
43.8331721,-79.4357609,2,Langstaff Road (473),a,Langstaff Road,49,5447174,98292473,Richmond Hill,37878
43.8331888,-79.4391571,2,Kilbarry Court (630),a,Kilbarry Court,6,5447097,328449630,Richmond Hill,37878
43.8331928,-79.4391464,2,Kilbarry Court (875),a,Kilbarry Court,6,5447097,97745875,Richmond Hill,37878
43.8332113,-79.4392798,2,Langstaff Road (494),a,Langstaff Road,49,5447174,98292494,Richmond Hill,37878
43.8332227,-79.4334094,2,Highway 7 (670),a,Highway 7,249,5446603,297028670,Richmond Hill,37878
43.8332266,-79.4328703,2,Highway 7 (776),a,Highway 7,249,5446603,92701776,Richmond Hill,37878
43.8332379,-79.4357838,2,Fairview Avenue (342),a,Fairview Avenue,26,5447046,328449342,Richmond Hill,37878
43.8332479,-79.4393286,2,Langstaff Road (495),a,Langstaff Road,49,5447174,98292495,Richmond Hill,37878
43.8332586,-79.4401119,2,Langstaff Road (503),a,Langstaff Road,49,5447174,98292503,Richmond Hill,37878
43.8332586,-79.4401119,2,Hunter's Point Drive (291),a,Hunter's Point Drive,33,15729456,328453291,Richmond Hill,37878
43.8332683,-79.4357944,2,Fairview Avenue (030),a,Fairview Avenue,26,5447046,97375030,Richmond Hill,37878
43.833281,-79.4426708,2,Misty Moor Drive (062),a,Misty Moor Drive,14,5446868,95988062,Richmond Hill,37878
43.8332844,-79.4400241,2,Langstaff Road (502),a,Langstaff Road,49,5447174,98292502,Richmond Hill,37878
43.833287,-79.4388922,2,Kilbarry Court (876),a,Kilbarry Court,6,5447097,97745876,Richmond Hill,37878
43.8332984,-79.4399679,2,Langstaff Road (056),a,Langstaff Road,49,5447174,328453056,Richmond Hill,37878
43.8333035,-79.4394391,2,Langstaff Road (496),a,Langstaff Road,49,5447174,98292496,Richmond Hill,37878
