lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
44.3363222,-76.1533682,2,Talbot Place (512),a,Talbot Place,10,11393911,221451512,Gananoque,132393
44.3363249,-76.1531713,2,Talbot Place (010),a,Talbot Place,10,11393911,572680010,Gananoque,132393
44.3363279,-76.1529522,2,Talbot Place (009),a,Talbot Place,10,11393911,572680009,Gananoque,132393
44.3363291,-76.1528675,2,Wilson Drive (019),a,Wilson Drive,11,11393876,221449019,Gananoque,132393
44.3363291,-76.1528675,2,Wilson Drive (022),a,Wilson Drive,11,11393876,221449022,Gananoque,132393
44.3363291,-76.1528675,2,Talbot Place (513),a,Talbot Place,10,11393911,221451513,Gananoque,132393
44.3363436,-76.1745514,2,Nalon Road (561),a,Nalon Road,20,11393899,221450561,Gananoque,132393
44.3363901,-76.1491035,2,Charmichael Drive (652),a,Charmichael Drive,5,11393912,221451652,Gananoque,132393
44.3363978,-76.145574,2,King Street East (125),a,King Street East,105,11393866,221448125,Gananoque,132393
44.3364208,-76.1574574,2,Herbert Street (758),a,Herbert Street,12,11393841,221445758,Gananoque,132393
44.3364208,-76.1574574,2,Herbert Street (759),a,Herbert Street,12,11393841,221445759,Gananoque,132393
44.3364208,-76.1574574,2,North Street (034),a,North Street,22,11393843,221446034,Gananoque,132393
44.3364497,-76.1608997,2,James Street North (313),a,James Street North,19,11393838,221445313,Gananoque,132393
44.336461,-76.174596,2,Nalon Road (560),a,Nalon Road,20,11393899,221450560,Gananoque,132393
44.3364638,-76.1610875,2,Georgiana Street (195),a,Georgiana Street,13,11393845,221446195,Gananoque,132393
44.3364856,-76.1609738,2,James Street North (312),a,James Street North,19,11393838,221445312,Gananoque,132393
44.3364856,-76.1609738,2,Georgiana Street (196),a,Georgiana Street,13,11393845,221446196,Gananoque,132393
44.3365157,-76.1492499,2,Charmichael Drive (080),a,Charmichael Drive,5,11393912,504247080,Gananoque,132393
44.3365545,-76.1492951,2,Charmichael Drive (079),a,Charmichael Drive,5,11393912,504247079,Gananoque,132393
44.3365605,-76.1516989,2,King Street East (783),a,King Street East,105,11393866,556101783,Gananoque,132393
44.3365707,-76.1702512,2,Ann Street (280),a,Ann Street,3,11393880,221449280,Gananoque,132393
44.3365707,-76.1702512,2,Queen Street (305),a,Queen Street,9,11393881,221449305,Gananoque,132393
44.3365707,-76.1702512,2,Queen Street (308),a,Queen Street,9,11393881,221449308,Gananoque,132393
44.3365825,-76.1701521,2,Ann Street (925),a,Ann Street,3,11393880,353132925,Gananoque,132393
44.336587,-76.1455526,2,King Street East (126),a,King Street East,105,11393866,221448126,Gananoque,132393
44.3366679,-76.1528945,2,Wilson Drive (219),a,Wilson Drive,11,11393876,401213219,Gananoque,132393
44.3366837,-76.1746691,2,Nalon Road (559),a,Nalon Road,20,11393899,221450559,Gananoque,132393
44.3366868,-76.1515021,2,King Street East (784),a,King Street East,105,11393866,556101784,Gananoque,132393
44.3367104,-76.1690789,2,Ann Street (284),a,Ann Street,3,11393880,221449284,Gananoque,132393
44.3367104,-76.1690789,2,Stone Street North (722),a,Stone Street North,24,11393913,221451722,Gananoque,132393
44.3368063,-76.1746952,2,Nalon Road (558),a,Nalon Road,20,11393899,221450558,Gananoque,132393
44.3368507,-76.1512468,2,King Street East (785),a,King Street East,105,11393866,556101785,Gananoque,132393
44.3368939,-76.1511795,2,King Street East (780),a,King Street East,105,11393866,556101780,Gananoque,132393
44.3369261,-76.1580933,2,Herbert Street (760),a,Herbert Street,12,11393841,221445760,Gananoque,132393
44.3369304,-76.1497333,2,Charmichael Drive (653),a,Charmichael Drive,5,11393912,221451653,Gananoque,132393
44.3369761,-76.152899,2,Wilson Drive (020),a,Wilson Drive,11,11393876,221449020,Gananoque,132393
44.3369905,-76.1747274,2,Nalon Road (552),a,Nalon Road,20,11393899,221450552,Gananoque,132393
44.3371231,-76.1508184,2,King Street East (781),a,King Street East,105,11393866,556101781,Gananoque,132393
44.3372618,-76.1456033,2,King Street East (127),a,King Street East,105,11393866,221448127,Gananoque,132393
44.3373771,-76.165653,2,Charles Street North (086),a,Charles Street North,32,11393844,221446086,Gananoque,132393
44.3374153,-76.1503669,2,King Street East (779),a,King Street East,105,11393866,556101779,Gananoque,132393
